,coin_name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,coin_symbol
0,Bitcoin,716003738490.0228,0.09443869,-1.23072731,1.34939692,36624.90095036635,28810339853.994297,BTC
1,Ethereum,244608582344.98257,0.50572876,1.42110357,0.97176351,2034.1836732221507,16150965613.968678,ETH
2,Tether USDt,88331092484.03555,0.00683145,0.00546219,-0.02141808,1.0002541042647903,54341062140.82655,USDT
3,BNB,35532666920.79541,0.06807217,-9.07437106,-7.51387557,234.22976373001842,2611521490.147819,BNB
4,XRP,32042747234.423306,0.1518757,-2.7356107,-6.5586998,0.5964958565723903,1709326998.1622367,XRP
5,USDC,24348000486.707294,0.00487388,0.01375382,-0.01624674,1.000031344575499,7488055938.527815,USDC
6,Solana,23344152793.144634,0.26490057,-0.93510017,-11.245765,55.17345120857949,2553095040.7789526,SOL
7,Cardano,13120378460.898401,0.26578575,-1.2122048,0.7988128,0.371803787478854,434618390.2042361,ADA
8,Dogecoin,10632740473.370476,0.58968905,-1.93729166,0.46593778,0.07491336979642559,790890246.4182432,DOGE
9,TRON,8870744011.017973,-0.03978795,-1.43293304,-4.13364237,0.10011494738007953,435578379.681327,TRX
10,Toncoin,8206852277.545795,0.31038658,1.44104978,3.30395609,2.391349164838457,41926477.31522458,TON
11,Chainlink,7959961293.793903,0.48962378,0.724938,-3.86480318,14.294624613738396,906143011.915257,LINK
12,Avalanche,7220916262.63007,0.41853744,-4.38364187,3.69432981,20.304791573003474,1122678508.39378,AVAX
13,Polygon,7068892859.237366,0.01872442,-3.70094859,-16.8730876,0.763347820573289,730185206.9392864,MATIC
14,Polkadot,6573437772.863608,0.13342388,-1.31701977,-5.82820716,5.097945542773701,295077101.52519137,DOT
15,Wrapped Bitcoin,5947081423.566844,0.05629532,-1.48931451,1.2662235,36547.29936836398,268533701.091939,WBTC
16,Dai,5351382627.728178,0.03420818,0.15977365,0.03926893,1.0006533479370812,318100356.6242803,DAI
17,Litecoin,5017760215.015567,0.14731708,-3.99100007,-5.88449474,67.89810734769836,404041927.096284,LTC
18,Shiba Inu,4714725943.8947735,0.38217935,-3.49901091,-6.51530712,7.999916223951657e-06,208687295.88116425,SHIB
19,Bitcoin Cash,4306896692.5661545,0.16107907,-5.07595065,-5.42843096,220.12400186377255,262702074.5105534,BCH
20,UNUS SED LEO,3714942536.414024,0.1242694,1.486536,-1.92859056,4.001204434816774,649444.63619542,LEO
21,OKB,3471969967.75225,0.32419082,1.99852482,-2.86483064,57.86616612920417,34494386.23072653,OKB
22,TrueUSD,3272235546.7601814,-0.04141102,-0.00507341,-0.08066814,0.9990520440086786,349879618.2147095,TUSD
23,Stellar,3264183370.883287,0.2182354,-1.34562413,-2.62545419,0.11661854729441709,95165204.04607299,XLM
24,Cosmos,3246842630.259689,0.33952845,-2.67583756,-9.06954167,8.635061390628561,172207624.76161295,ATOM
25,Uniswap,3216917374.384069,1.81566905,7.7729398,3.87802758,5.469208412397426,284493018.7801061,UNI
26,Monero,2997697092.8963914,-0.10744061,-0.75537978,-0.94449541,163.26081517511514,95888256.25477879,XMR
27,Kaspa,2911918051.24433,2.79093572,7.64652879,23.71394611,0.13464059223518188,128425039.26821786,KAS
28,Ethereum Classic,2701934028.014509,0.45984708,-2.33022211,-3.28553964,18.74374081711309,228567774.11477074,ETC
29,Cronos,2368417461.6216536,-0.97608774,2.61555679,-11.66148843,0.09375039298544405,34890354.26030922,CRO
30,Lido DAO,2199742183.7545576,1.76817097,5.37890785,-0.02933785,2.4710890046056027,135468049.48033443,LDO
31,Filecoin,2075187001.0927017,0.39896983,-3.83393431,-14.50936358,4.399105236682781,231692746.8893133,FIL
32,Hedera,2017552277.870643,0.37002204,-5.10780051,0.00682176,0.06011346764373434,94760998.87889014,HBAR
33,Aptos,1985083594.2456253,0.31181584,-0.2441026,-4.24451145,7.192982839909616,167027384.8643353,APT
34,THORChain,1960654004.9289238,0.90548484,5.15611541,0.03615245,5.807521379964034,570435153.584081,RUNE
35,Internet Computer,1919138297.6790998,0.47358218,-2.8632496,-5.2401866,4.268474895504275,63366948.9193735,ICP
36,NEAR Protocol,1820432505.0184762,1.6131044,-5.19149262,9.52041296,1.818767212658291,278109030.4502724,NEAR
37,BUSD,1782996072.3933556,-0.02319928,0.0110394,-0.07878616,1.0001363093575633,598137597.4668117,BUSD
38,Immutable,1685770010.9827995,-0.40783205,1.75699255,13.13842059,1.3466779264856619,128080290.16973849,IMX
39,Optimism,1500276814.7681122,1.06391179,0.77693422,-8.23535747,1.7030845453374612,171872970.44594508,OP
40,VeChain,1482146900.8566341,0.49428099,-2.17582979,-5.03864108,0.02038309494980525,54242578.78585032,VET
41,Mantle,1452908438.7035022,0.18997791,-1.75132998,2.038745,0.4677762762785694,132519470.3323469,MNT
42,Maker,1427881923.7875419,0.06161524,1.54619365,3.08512006,1460.5529794153515,130250701.09741989,MKR
43,FTX Token,1365700390.9451897,0.99743627,39.34108986,14.81762422,4.152388938331009,370570863.4556593,FTT
44,Aave,1330164266.4014716,0.59636506,2.34674791,-3.00853135,90.85607191381959,144543819.3967819,AAVE
45,The Graph,1319514687.835132,1.98812571,1.83778866,7.75454019,0.14167868051744345,98210129.91319014,GRT
46,Injective,1308415213.5917263,0.8481973,0.75606861,-7.2151645,15.621831928417373,100241422.41912895,INJ
47,Arbitrum,1286823323.8982759,0.62080192,-0.70693686,-9.79320395,1.009273195214334,376450527.8375132,ARB
48,Render,1234477882.998191,0.33763378,-4.20265558,40.92610978,3.319305793345504,219674184.2871054,RNDR
49,Quant,1194961674.1339195,0.03388776,-0.47689731,-4.18730577,98.98017120341048,26914723.33227798,QNT
50,MultiversX,1123207724.2462273,0.51502355,-1.37973852,-8.44066963,42.814208434929114,45714330.0480671,EGLD
51,Algorand,1037366442.9830416,0.45196151,-4.21511806,-6.11552844,0.1295721976139617,77789823.1253727,ALGO
52,Synthetix,1018922631.8126283,-0.0628556,5.317182,27.48582248,3.498354528235941,223451955.48661157,SNX
53,Flow,911904079.4300894,0.87951271,-4.7831233,-9.317226,0.6198364946410303,58521118.76986984,FLOW
54,Theta Network,906899997.0741451,0.71437788,-2.49018425,-4.87275494,0.9068999970741451,24395213.36253991,THETA
55,Bitcoin SV,899624116.2682484,0.23996905,-4.10661583,-4.97029892,45.99578662424331,52856329.06553646,BSV
56,Stacks,869093639.6148684,0.48708576,-2.42333521,-3.9891719,0.6112602034983247,49832553.11474336,STX
57,Celestia,851233374.3641963,-0.23780137,3.60503508,-7.58606816,5.844525844127112,415633364.7597847,TIA
58,Fantom,823850872.4933386,0.07395163,-3.99609141,-10.18200593,0.2938509901695521,108952727.9037075,FTM
59,Axie Infinity,816407867.2014172,0.36869765,-5.32879169,-9.04488703,5.738374688610546,77053651.96972145,AXS
60,The Sandbox,798153573.9760599,0.31307583,-5.15578878,-11.5750722,0.38097442047810576,119000825.23849766,SAND
61,Tezos,758276373.2160603,0.52522164,-5.51884054,-8.48385496,0.7892118614695474,32070066.37673223,XTZ
62,Bitget Token,753600905.2437007,-0.07863376,-0.6798038,1.68086153,0.5382863608883577,19597665.12207974,BGB
63,Decentraland,749729813.9623821,0.53240902,-4.11834143,-10.20505234,0.39603383199222525,98790205.13375762,MANA
64,Neo,745431824.2595043,0.90037968,-4.28150561,-10.38741463,10.56768043490123,81613561.95118691,NEO
65,EOS,741575654.080058,0.46698848,-5.28903753,-6.46865106,0.668589433617839,161302549.48542196,EOS
66,USDD,721294681.2589581,-0.08645525,-0.14524034,-0.35071217,0.9944337979856855,49058336.93178535,USDD
67,KuCoin Token,711960129.2340646,0.16683948,0.90585755,20.46909918,7.360055306118591,2502026.08372135,KCS
68,Kava,697038324.0792518,0.24419195,-3.38928512,-9.56296652,0.7301089789875261,24298706.97471261,KAVA
69,XDC Network,686943504.8627787,0.27984254,-3.01061602,-3.78849888,0.04949511676806932,14101892.32968972,XDC
